algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,8,64,3,QAOA_H8_Q64_s3_shifted,4,4,4,1,2,1.000000,1226,1226,1.000000,3.988581,3.988581,0.000000,0.001631,0.001631,0.000000
QAOA,8,64,3,QAOA_H8_Q64_s3_shifted,8,8,2,1,2,0.250000,2448,2448,1.000000,1.997549,1.997549,0.000000,0.549428,0.002042,-0.547386
QAOA,8,64,3,QAOA_H8_Q64_s3_shifted,8,8,3,1,2,0.375000,1633,1633,1.000000,2.994489,2.994489,0.000000,0.386405,0.001837,-0.384568
QAOA,8,64,3,QAOA_H8_Q64_s3_shifted,8,8,4,1,2,0.500000,1226,1226,1.000000,3.988581,3.988581,0.000000,0.251223,0.002447,-0.248776
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,16,16,2,1,2,0.125000,2490,2490,1.000000,1.99759,1.99759,0.000000,0.638153,0.003614,-0.634539
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,16,16,3,1,2,0.187500,1661,1661,1.000000,2.994582,2.994582,0.000000,0.491872,0.003612,-0.488260
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,16,16,4,1,2,0.250000,1247,1247,1.000000,3.988773,3.988773,0.000000,0.363272,0.00401,-0.359262
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,4,4,2,1,2,0.500000,2490,2490,1.000000,1.99759,1.99759,0.000000,0.393173,0.001205,-0.391968
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,4,4,3,1,2,0.750000,1661,1661,1.000000,2.994582,2.994582,0.000000,0.177604,0.001204,-0.176400
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,4,4,4,1,2,1.000000,1247,1247,1.000000,3.988773,3.988773,0.000000,0.001604,0.001604,0.000000
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,8,8,2,1,2,0.250000,2490,2490,1.000000,1.99759,1.99759,0.000000,0.558233,0.002008,-0.556225
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,8,8,3,1,2,0.375000,1661,1661,1.000000,2.994582,2.994582,0.000000,0.399157,0.001806,-0.397351
QAOA,8,64,4,QAOA_H8_Q64_s4_shifted,8,8,4,1,2,0.500000,1247,1247,1.000000,3.988773,3.988773,0.000000,0.268645,0.002406,-0.266239
QFT,4,16,0,QFT_H4_Q16_s0_shifted,16,16,2,1,2,0.125000,621,621,1.000000,1.983897,1.983897,0.000000,0.723027,0.014493,-0.708534
QFT,4,16,0,QFT_H4_Q16_s0_shifted,16,16,3,1,2,0.187500,416,416,1.000000,2.961538,2.961538,0.000000,0.627404,0.014423,-0.612981
QFT,4,16,0,QFT_H4_Q16_s0_shifted,16,16,4,1,2,0.250000,314,314,1.000000,3.923567,3.923567,0.000000,0.566879,0.019108,-0.547771
QFT,4,16,0,QFT_H4_Q16_s0_shifted,4,4,2,1,2,0.500000,621,619,0.996779,1.983897,1.990307,0.323101,0.457327,0.004847,-0.452480
QFT,4,16,0,QFT_H4_Q16_s0_shifted,4,4,3,1,2,0.750000,416,415,0.997596,2.961538,2.968675,0.240990,0.216346,0.007229,-0.209117
QFT,4,16,0,QFT_H4_Q16_s0_shifted,4,4,4,1,2,1.000000,314,314,1.000000,3.923567,3.923567,0.000000,0.012739,0.012739,0.000000
QFT,4,16,0,QFT_H4_Q16_s0_shifted,8,8,2,1,2,0.250000,621,621,1.000000,1.983897,1.983897,0.000000,0.658615,0.009662,-0.648953
QFT,4,16,0,QFT_H4_Q16_s0_shifted,8,8,3,1,2,0.375000,416,416,1.000000,2.961538,2.961538,0.000000,0.509615,0.009615,-0.500000
QFT,4,16,0,QFT_H4_Q16_s0_shifted,8,8,4,1,2,0.500000,314,314,1.000000,3.923567,3.923567,0.000000,0.401274,0.012739,-0.388535
QFT,4,16,1,QFT_H4_Q16_s1_shifted,16,16,2,1,2,0.125000,619,619,1.000000,1.990307,1.990307,0.000000,0.759289,0.011309,-0.747980
QFT,4,16,1,QFT_H4_Q16_s1_shifted,16,16,3,1,2,0.187500,416,416,1.000000,2.961538,2.961538,0.000000,0.677885,0.012019,-0.665866
QFT,4,16,1,QFT_H4_Q16_s1_shifted,16,16,4,1,2,0.250000,314,314,1.000000,3.923567,3.923567,0.000000,0.624204,0.012739,-0.611465
QFT,4,16,1,QFT_H4_Q16_s1_shifted,4,4,2,1,2,0.500000,619,619,1.000000,1.990307,1.990307,0.000000,0.466882,0.003231,-0.463651
QFT,4,16,1,QFT_H4_Q16_s1_shifted,4,4,3,1,2,0.750000,416,416,1.000000,2.961538,2.961538,0.000000,0.221154,0.004808,-0.216346
QFT,4,16,1,QFT_H4_Q16_s1_shifted,4,4,4,1,2,1.000000,314,314,1.000000,3.923567,3.923567,0.000000,0.006369,0.006369,0.000000
QFT,4,16,1,QFT_H4_Q16_s1_shifted,8,8,2,1,2,0.250000,619,619,1.000000,1.990307,1.990307,0.000000,0.680129,0.004847,-0.675282
QFT,4,16,1,QFT_H4_Q16_s1_shifted,8,8,3,1,2,0.375000,416,416,1.000000,2.961538,2.961538,0.000000,0.533654,0.007212,-0.526442
